575, 5, 3
818, 6, 3
1135, 5, 3
1460, 5, 3
2019, 3, 2
2095, 5, 3
2878, 9, 3
3174, 4, 6
3226, 5, 6
4133, 5, 3
4939, 5, 3
5317, 9, 8
6257, 5, 3
7136, 5, 3
7278, 6, 3
7468, 9, 6
7871, 3, 5
8209, 9, 0
9240, 0, 2
9447, 9, 5
9835, 5, 3
10168, 5, 2
10181, 5, 3
11016, 5, 3
11029, 1, 9
11138, 5, 6
11209, 5, 3
11720, 5, 6
12887, 4, 3
13536, 7, 6
13583, 1, 6
13816, 5, 3
14491, 5, 3
14525, 5, 3
15211, 5, 3
15984, 5, 3
16197, 5, 3
16973, 5, 3
17032, 4, 6
17065, 5, 3
17071, 3, 7
17105, 5, 3
17514, 4, 0
18169, 9, 6
18229, 5, 3
19176, 7, 2
19310, 5, 3
19566, 4, 6
20646, 9, 1
21244, 9, 0
21283, 9, 6
21427, 2, 6
21642, 7, 2
21720, 5, 3
21760, 5, 3
22491, 9, 8
23373, 8, 6
23835, 3, 0
24724, 3, 0
24725, 4, 2
24736, 4, 8
24933, 5, 3
25266, 4, 6
26281, 4, 6
26681, 4, 0
26761, 4, 6
26991, 5, 2
27041, 4, 6
27121, 9, 8
27828, 8, 0
28903, 9, 0
29940, 5, 3
30844, 4, 7
31285, 1, 0
31516, 3, 6
31548, 5, 3
31596, 5, 3
32082, 7, 0
32423, 5, 6
33381, 5, 3
33477, 0, 2
33795, 9, 0
33859, 4, 6
34959, 7, 4
35116, 5, 6
35128, 5, 3
35341, 5, 2
35351, 0, 3
35860, 9, 2
36314, 4, 7
36401, 9, 1
36473, 8, 0
36525, 5, 4
36618, 5, 7
37234, 5, 3
37612, 1, 0
38212, 4, 6
38496, 3, 4
38912, 4, 6
38979, 5, 3
39507, 5, 3
39721, 9, 0
40141, 6, 3
40241, 5, 3
40900, 4, 6
41697, 3, 6
41992, 5, 3
42231, 5, 6
43091, 5, 3
43281, 5, 3
43371, 5, 3
44012, 7, 5
44496, 5, 3
44506, 2, 6
45070, 5, 3
45075, 5, 3
45237, 1, 8
46682, 4, 3
46881, 5, 3
46940, 9, 0
47475, 5, 3
47739, 5, 2
48022, 2, 6
48153, 5, 3
48238, 4, 2
49094, 5, 3
49218, 9, 6
