1301, 5, 3
1755, 9, 1
1873, 5, 7
2097, 4, 6
2103, 9, 3
2418, 1, 0
3536, 8, 0
4526, 9, 8
4611, 0, 3
4763, 5, 3
5036, 1, 8
5395, 8, 0
5798, 5, 2
5803, 5, 3
6294, 9, 8
6762, 4, 8
7168, 5, 3
7374, 4, 7
8676, 3, 0
9016, 5, 2
9091, 7, 2
9395, 9, 1
9590, 9, 0
10357, 4, 0
10461, 2, 6
10716, 5, 3
10835, 5, 3
10970, 5, 3
11328, 4, 3
11362, 5, 3
11478, 4, 3
11759, 5, 3
11944, 5, 3
12285, 9, 0
12514, 5, 3
12933, 5, 3
13301, 5, 4
13845, 5, 6
14007, 5, 3
14342, 7, 2
14531, 3, 4
14603, 7, 4
16166, 5, 3
16417, 1, 9
16556, 7, 0
16588, 9, 0
17187, 5, 3
17349, 6, 3
17564, 5, 2
17705, 5, 3
17797, 5, 3
17813, 5, 3
17908, 0, 2
18203, 8, 6
18537, 5, 3
18580, 5, 3
18720, 4, 6
18798, 5, 3
19152, 4, 6
19251, 4, 6
19350, 4, 6
19424, 9, 8
19475, 5, 3
19587, 5, 3
19760, 4, 7
20923, 4, 6
22066, 5, 3
22205, 7, 6
22624, 9, 6
22756, 5, 3
23820, 5, 3
24268, 5, 6
24967, 7, 5
25249, 1, 0
25445, 5, 3
25484, 5, 6
26506, 3, 6
26869, 5, 6
27015, 2, 6
27547, 6, 3
27548, 5, 6
28213, 5, 3
28299, 5, 3
28935, 5, 3
29636, 5, 3
30196, 3, 5
30763, 9, 0
31957, 4, 0
33665, 5, 3
34053, 5, 2
35777, 4, 6
36267, 5, 3
37662, 4, 6
37844, 5, 3
38112, 5, 3
38591, 3, 6
38715, 3, 2
39310, 5, 3
39488, 4, 2
39947, 5, 3
40597, 1, 6
41188, 5, 3
41200, 5, 3
41831, 9, 0
42031, 2, 6
42148, 5, 3
42258, 3, 0
42382, 9, 6
43298, 5, 3
43440, 5, 3
43700, 4, 6
44830, 9, 6
45646, 4, 6
45730, 5, 6
46102, 6, 3
46385, 0, 2
46605, 4, 6
47147, 5, 3
47176, 5, 3
47267, 5, 3
48089, 4, 2
48140, 9, 2
48357, 9, 6
48389, 5, 3
48754, 9, 0
49069, 3, 7
49776, 9, 5
